BGL coefficients
a_f[0]= 0.01224
a_g[0]= 0.0289
a_F1[0]= 0.00204964
a_F2[0]= 0.0595
a_f[1]= -0.052
a_g[1]= 0.08
a_F1[1]= -0.007
a_F2[1]= -0.318
a_f[2]= 1
a_g[2]= -1
a_F1[2]= 0.089
a_F2[2]= 0
a_f[3]= 0
a_g[3]= 0
a_F1[3]= 0
a_F2[3]= 0
BGL params
chiT1m 0.0005131
chiT1p 0.0003894
chiL1p 0.019421
r 0.380758
q2 z g f F1 F2 Bsck1p Bsck1m, Bsck0 Phig Phif PhiF1 PhiF2 
5.88385 0.0267989 0.284519 4.8149 16.0626 0.832939 0.0778552 0.0861687 0.111075 1.23694 0.0308501 0.00154008 0.246241 
5.99063 0.0262338 0.285722 4.82896 16.1123 0.839606 0.0776095 0.0858932 0.110749 1.23507 0.0308561 0.00154123 0.245868 
6.09741 0.0256674 0.286928 4.8434 16.1628 0.846336 0.0773637 0.0856176 0.110423 1.23319 0.0308621 0.00154237 0.245494 
6.20418 0.0250997 0.288137 4.85821 16.2141 0.853129 0.0771176 0.0853417 0.110097 1.23131 0.030868 0.00154352 0.245119 
6.31096 0.0245307 0.289349 4.8734 16.2663 0.859988 0.0768715 0.0850656 0.10977 1.22943 0.0308739 0.00154467 0.244745 
6.41773 0.0239604 0.290565 4.88897 16.3194 0.866912 0.0766252 0.0847894 0.109443 1.22754 0.0308799 0.00154582 0.24437 
6.52451 0.0233887 0.291784 4.90493 16.3733 0.873902 0.0763788 0.0845129 0.109116 1.22565 0.0308858 0.00154697 0.243994 
6.63129 0.0228158 0.293007 4.92129 16.4282 0.88096 0.0761323 0.0842362 0.108788 1.22377 0.0308917 0.00154812 0.243618 
6.73806 0.0222415 0.294232 4.93804 16.4839 0.888085 0.0758856 0.0839593 0.10846 1.22188 0.0308976 0.00154928 0.243242 
6.84484 0.0216658 0.295461 4.95521 16.5405 0.895279 0.0756387 0.0836822 0.108132 1.21998 0.0309034 0.00155044 0.242865 
6.95161 0.0210889 0.296693 4.97278 16.5981 0.902543 0.0753918 0.0834049 0.107803 1.21809 0.0309093 0.00155159 0.242488 
7.05839 0.0205105 0.297928 4.99078 16.6565 0.909878 0.0751447 0.0831274 0.107474 1.21619 0.0309152 0.00155275 0.24211 
7.16517 0.0199309 0.299166 5.0092 16.7159 0.917284 0.0748975 0.0828496 0.107144 1.21429 0.030921 0.00155392 0.241732 
7.27194 0.0193498 0.300407 5.02805 16.7763 0.924763 0.0746501 0.0825717 0.106815 1.21239 0.0309268 0.00155508 0.241354 
